Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2011,7/9/2011,7/2/2011,"Carousel LLC, Orlando, FL 32819",Worker resetting a switch on a ride was struck and killed by the ride's counterweight.
FY 2011,7/9/2011,7/2/2011,"Texas Industries Inc., Dallas, TX 75247",Worker walking under the plant in the silo area died after losing his balance and falling.
FY 2011,7/9/2011,7/5/2011,"Avenger Pest Control LLC, Siloam Springs, AR 72761",Worker spraying pesticides underneath a house died from possible poisoning.
FY 2011,7/9/2011,7/5/2011,"City of Sanford Police Department, Sanford, NC 27330","Worker repelling down a building during training died of internal injuries when his harness malfunctioned, slamming him into the building."
FY 2011,7/9/2011,7/5/2011,"LG&E and KU Energy LLC, Lousiville, KY 40218",Worker shot supervisor before shooting himself.
FY 2011,7/9/2011,7/5/2011,"Matrix Service Industrial Contractors, Inc., Eddystone, PA 19022",Worker died after falling 40 feet from a tank scaffold.
FY 2011,7/9/2011,7/5/2011,"McDonagh Amusements Inc., Chesaning, MI 48616",Worker was electrocuted while helping take down an amusement ride.
FY 2011,7/9/2011,7/5/2011,"T W Benson Trucking, Ashtabula, OH 44004","Worker was killed when his truck, which had known maintenance issues, veered off the road."
FY 2011,7/9/2011,7/6/2011,"A-1 Appliance Repair Services, Hayward, CA 94541",Worker was electrocuted while repairing a dryer.
FY 2011,7/9/2011,7/6/2011,"Apak, Inc., Mundelen, IL 60060",Worker was electrocuted while fixing a machine.
FY 2011,7/9/2011,7/8/2011,"Twigg Aerospace Components, Martinsville, IN 46151",Worker was electrocuted while performing maintenance work.
FY 2011,7/16/2011,6/23/2011,"Tri-State Planting & Polishing, Inc., Huntington, WV 25703",Worker was electrocuted while operating an overhead hoist.
FY 2011,7/16/2011,6/27/2011,"Delta Oil Mill, Greenwood, MS 38930",Worker trying to put out a pit fire with an extinguisher was killed when a flash fire and explosion occurred.
FY 2011,7/16/2011,6/27/2011,"Sepulveda Air Conditioning, San Juan, PR 00925",Worker repairing an air conditioning unit was electrocuted.
FY 2011,7/16/2011,6/28/2011,"Wild Bayside Jewelry, El Sobrante, CA 94803",Worker suffered heart attack while cutting logs and stacking wood at employer's residence.
FY 2011,7/16/2011,7/2/2011,"Dredge and Marine Company LLC, Nashville, TN 37218",Worker died from burns after an explosion occurred inside of the boat he was painting.
FY 2011,7/16/2011,7/3/2011,"Greater Miami Baseball Club Limited Partnership, Ft. Myers, FL 33912",Worker died after his pelvis was crushed in a moving freight elevator.
FY 2011,7/16/2011,7/5/2011,"Total Grain Marketing, LLC, Metcalf, IL 61940",Worker riding a scissor lift was electrocuted after contacting live powerlines.
FY 2011,7/16/2011,7/6/2011,"Johnson Roofing, Waco, TX 76712",Worker installing insulation on a roof died fom head trauma after slipping off the roof's edge and falling more than 20 feet.
FY 2011,7/16/2011,7/6/2011,"Sunroc Corp, Cedar City, UT 84720",Worker died after he was run over by a front-end loader while clearing a work site.
FY 2011,7/16/2011,7/7/2011,"C Clunn Consulting, Holtville, CA 92250",Worker driving a tractor that pulled a farm harvesting machine collapsed and later died from possible heat illness.
FY 2011,7/16/2011,7/7/2011,"Southern New Hampshire Services Inc., Manchester, NH 03103",Worker performing work underneath a car was killed when the car's owner accidentally ran over him.
FY 2011,7/16/2011,7/8/2011,"Bailey-Buchanan Masonry, Inc., Beaumont, TX 77705",Worker collapsed while working on a 24-foot scaffold.
FY 2011,7/16/2011,7/8/2011,"McConway & Torley LLC., Pittsburgh, PA 15201",Worker was impaled and crushed within a machine that creates product molds.
FY 2011,7/16/2011,7/8/2011,"Patterson UTI Drilling Company, Carlsbad, NM 88220",Worker was struck and killed by hoisting equipment while working on an oil drilling rig.
FY 2011,7/16/2011,7/9/2011,"Mike Howe Builders, Inc., Two Rivers, WI 54241",Worker was killed when a truck driver backed up pinning him in between the truck and a dumpster.
FY 2011,7/16/2011,7/9/2011,"URS Corporation, Soda Springs, ID 83230",Worker driving a construction road scraper was killed after the scraper rolled over into a pond.
FY 2011,7/16/2011,7/11/2011,"Charles R. Ellis, Richwood, OH 43344",Worker was in the process of removing a large tree when it fell on him knocking him to the ground.
FY 2011,7/16/2011,7/11/2011,"Evergreen Caissons, Telluride, CO 81435",Worker died after falling into a covered hole that gave way.
FY 2011,7/16/2011,7/11/2011,"LA Hardwood Products, LLC, Le Moyen, LA 71356",Worker died from apparent heat stress while performing welding operations.
FY 2011,7/16/2011,7/11/2011,"Solar Erectors US Inc., Miami, FL 33128","Worker constructing a parking garage died when the cable he was leaning on snapped, causing him to fall 40 feet."
FY 2011,7/16/2011,7/11/2011,"Tipton Trucking, Inc., Bordentown, NJ 08505","Worker was crushed when a 7,000-pound concrete barrier fell on top of him."
FY 2011,7/16/2011,7/12/2011,"Bar-S Foods Co., Lawton, OK 73505",Worker cleaning an auger inside a meat processing factory died after falling into the processing machine.
FY 2011,7/16/2011,7/12/2011,"Employee Staffing Services LLC, Camp Hill, PA 17603",Worker died from heat stress while repairing a school roof.
FY 2011,7/16/2011,7/12/2011,"MC Lighting Maintenance, Houston, TX 77088","Worker installing a switch on an electric light was electrocuted, then fell from the scissor lift onto the floor."
FY 2011,7/16/2011,7/12/2011,"McPherson Son's Plumbing & Heat, Evans, WV 25241",Worker performing service on exterior A/C unit was electrocuted.
FY 2011,7/16/2011,7/13/2011,"Nash Johnson & Son, Rose Hill, NC 28458",Farm worker died from possible heat illness after experiencing light-headedness and confusion while collecting eggs.
FY 2011,7/16/2011,7/13/2011,"The Brickman Group LLC Ltd., Mokenia, IL 60448",Worker was crushed when he was thrown from the powered industrial vehicle he was driving and it fell on top of him.
FY 2011,7/16/2011,7/14/2011,"Con-Way Freight, San Antonio, TX 78220",Worker was killed when a crate of equipment fell on top of him.
FY 2011,7/16/2011,7/14/2011,"Hungtinton Ingalls Industries, Inc., Avondale, LA 70094",Worker was electrocuted while performing task on a vessel.
FY 2011,7/16/2011,7/15/2011,"Remco, Inc., Mechanicsburg, PA 17050",Worker was apparently electrocuted while making repairs to an air conditioning unit.
FY 2011,7/23/2011,5/1/2011,"Autocatalyst Recycling Inc., Dearborn, MI 48126",Worker died after falling from seven-foot ladder and hitting his head on surface below.
FY 2011,7/23/2011,6/1/2011,"Asplundh Tree Expert Company, Coats, NC 27504",Worker cutting trees in 100-degree weather fell unconscious and later died from heat stroke.
FY 2011,7/23/2011,6/9/2011,"Frontier Industrial Corp., St. Petersburg, FL 33702",Worker cutting beams in preparation for a controlled building demolition died when the building collapsed prematurely.
FY 2011,7/23/2011,6/23/2011,"DH Roberts Construction of Jonesville, Battle Creek, MI 49036",Construction worker was crushed between boom lift and steel beam.
FY 2011,7/23/2011,7/6/2011,"Casey's General Stores, Inc., La Porte City, IA 50651",Worker collapsed and died from asphyxiation while trying to escape a store fire.
FY 2011,7/23/2011,7/10/2011,"Pike Creek Turf Farms, Inc., Adel, GA 31620",Worker was electrocuted while hooking up a power generator that was still running.
FY 2011,7/23/2011,7/12/2011,"Essex Newbury Contracting Services Corp., Newbury, MA 01951","Worker, who complained of feeling sick while digging a one-foot trench, collapsed and later died."
FY 2011,7/23/2011,7/12/2011,"H.C. Haynes, Winn, ME 04495",Worker was killed when a tree struck him in the chest while inside a skid-steer cab.
FY 2011,7/23/2011,7/12/2011,"Russell Disposal Inc., Methuen, MA 01844",Worker collecting trash was struck and killed by the trash truck while it was moving in reverse.
FY 2011,7/23/2011,7/13/2011,"Roofers Enterprises Corporation, LLC, Charlotte, NC 28270",Worker making roof repairs fell unconscious and died from possible heat stress.
FY 2011,7/23/2011,7/14/2011,"Wilson and Associates, White Pine, TN 37890",Worker performing reconstruction work on roadside was struck and killed by car.
FY 2011,7/23/2011,7/16/2011,"Dolle Electric, Inc., Rogers, AR 72758",Worker performing construction activities collapsed and died from apparent heat illness.
FY 2011,7/23/2011,7/16/2011,"Moore Brothers, Colusa, CA 95950",Worker killed when an electrical panel exploded.
FY 2011,7/23/2011,7/17/2011,"Wal-Mart #275, Livingston, TX 77351",Worker buffing floors died after he slipped and hit his head on the floor.
FY 2011,7/23/2011,7/18/2011,"Imperial Steel Construction, Bensenville, IL 60106",Worker died after falling approximately 35 feet without fall protection from a bar joist.
FY 2011,7/23/2011,7/18/2011,"Sioux City Engineering Co., Sioux City, IA 51103",Worker was crushed in an auger while servicing a street paver machine.
FY 2011,7/23/2011,7/18/2011,"Trenchless Technologies of New England, Inc., Port Kent, NY 12975",Worker cleaning a pipe casing using an auger machine died after the machine overturned and crushed him.
FY 2011,7/23/2011,7/19/2011,"Daniel Martinez, Architect Tustin, CA 92782",Worker providing landscape services collapsed and later died from a heart condition.
FY 2011,7/23/2011,7/19/2011,"Dennis Steel Inc., Austin, TX 78712",Worker died from an apparent heart attack after loading equipment onto a truck.
FY 2011,7/23/2011,7/19/2011,"Goodyear Tire & Rubber Co, Topeka, KS 66603",Worker collapsed and died after making repairs to a rubber cooling machine.
FY 2011,7/23/2011,7/19/2011,"Head Roofing, Pittsburgh, PA 15206",Worker was killed when an aluminum scaffold plank fell and struck him in the head.
FY 2011,7/23/2011,7/19/2011,"Management Mccord Assest, Peoria Heights, IL 61616","Worker falling from roof, grabbed an exposed electrical wire to catch himself and was electrocuted."
FY 2011,7/23/2011,7/19/2011,"W W Fairbairn & Sons Inc., Walloon Lake, MI 49796",Worker was electrocuted after touching exposed wire while removing water lines.
FY 2011,7/23/2011,7/20/2011,"Keystone Consolidated Industries, Bartonville, IL 61607",Worker was found dead inside a break trailer.
FY 2011,7/23/2011,7/20/2011,"L & T Metal Recycling, Bolivar, MO 65613",Worker died after suffering burns to his lower body from a cutting torch explosion.
FY 2011,7/23/2011,7/21/2011,"KCH Mechanical, Inc., Effingham, IL 62401",Worker installing HVAC equipment died from electric shock.
FY 2011,7/30/2011,4/18/2011,"Mac Electric Inc, Duarte, CA 91010","Worker died after suffering electrical burns on arms, hands and face."
FY 2011,7/30/2011,5/23/2011,"Cross Country Courier, Hermantown, MN 55810",Worker died after falling from an elevated loading dock inside a warehouse.
FY 2011,7/30/2011,6/17/2011,"Labor Ready/ Allied Waste, Imperial, CA 92251",Employer pulling empty residential garbage bins collapsed and later died.
FY 2011,7/30/2011,6/30/2011,"Precision Tree and Landscaping, Apple Valley, MN 55124",Worker died after falling nearly 50 feet while trimming trees.
FY 2011,7/30/2011,7/11/2011,"Power Bros Machine, Montebello, CA 90640",Worker electrocuted while replacing a fuse in an air compressor.
FY 2011,7/30/2011,7/13/2011,"DirectSat USA, Elk River, MN 55330",Worker fell more than 15 feet from a ladder while making repairs to a satellite dish.
FY 2011,7/30/2011,7/13/2011,"RMG Construction Contractors LLC, Brooklyn Park, MN 55445",Worker digging in an 8-foot deep trench died after the trench walls caved in on him.
FY 2011,7/30/2011,7/15/2011,"Silva International Inc., Momence, IL 60954",Worker was killed after falling about 13 feet into the material hoist carriage.
FY 2011,7/30/2011,7/18/2011,"Landscape Solutions, Mendota Heights, MN 55120","Worker collapsed while trimming bushes and raking, and later died."
FY 2011,7/30/2011,7/18/2011,"RDL Masonry, Inc., Umatilla, FL 32784",Worker was killed after falling nearly 20 feet while setting concrete supports on a residential construction site.
FY 2011,7/30/2011,7/19/2011,"Brad Ragan Recycling Inc. DBA BR Tire, Glasgow, KY 42142",Worker suffered possible heat stroke while changing a tractor tire.
FY 2011,7/30/2011,7/19/2011,"Crystal Rock Amusements, Inc. dba Castelrock, Johnson, VT 05656",Worker was killed after getting caught in metal fan blades while working on an unguarded generator.
FY 2011,7/30/2011,7/20/2011,"Highland House, Highland, MI 48356",Restaurant kitchen worker died from alleged heat stress after feeling disoriented and being found unresponsive at home.
FY 2011,7/30/2011,7/20/2011,"Jean Genie Studio Inc., Los Angeles, CA 90023",Worker was killed after being pulled into a commercial washing machine.
FY 2011,7/30/2011,7/20/2011,"JL Cattle, Inwood, IA 51240",Young worker crushed between pay loader bucket and cattle shed header.
FY 2011,7/30/2011,7/21/2011,"CE Systems, Columbus, IN 47201",Worker collapsed at work from possible heat stress.
FY 2011,7/30/2011,7/21/2011,"Die-Cut Paper Company, Inc., West Haven, CT 06516",Worker trying to clear a jam in a conveyer died after he slipped and fell from a ladder.
FY 2011,7/30/2011,7/25/2011,"American Railcar Industries, Marmaduke, AR 72443",Worker performing welding operations using a metal torch was electrocuted when the torch's frame became energized.
FY 2011,7/30/2011,7/25/2011,"Basic Energy Services, Plains, TX 79355",Worker observing a counterwieght cable raise a mast was struck and killed by the counterweight when the cable snapped.
FY 2011,7/30/2011,7/25/2011,"Charles Ahlem Ranch, Avettilman, CA 95324",Worker trying to free a stuck tractor was killed after he was pinned between truck and tractor.
FY 2011,7/30/2011,7/25/2011,"Pool Hoopers, Franklin Park, IL 60131",Worker fell over into a pump pit and drowned.
FY 2011,7/30/2011,7/25/2011,"Potential Industries, Wilmington, CA",Worker crushed by truck backing into loading dock.
FY 2011,7/30/2011,7/25/2011,"R & J Enterprises of IL, Inc., Rock Falls, IL 61071",Two workers were electrocuted while detasseling corn.
FY 2011,7/30/2011,7/25/2011,"Rainbow Transport, Carson, CA 90745",Worker was struck and killed by parts of rim that exploded while tire was being changed.
FY 2011,7/30/2011,7/26/2011,"Cinco Hermanos Construction, Santa Fe, NM 87508",Worker was crushed after the structure he was buildng onto a mobile home collapsed on top of him.
FY 2011,7/30/2011,7/26/2011,"CJ Contracting, Morgantown, WV 26505","Worker died after a 2x4 rail he sat on gave way, causing him to fall 11 feet to the ground."
FY 2011,7/30/2011,7/26/2011,"Van's Logging Springville, CA 93265",Worker struck in head by falling limb while cutting trees.
FY 2011,7/30/2011,7/27/2011,"B & M Welding, West Carrollton, OH 45439",Worker died after falling from a ladder down two levels.
FY 2011,7/30/2011,7/27/2011,"Bowen Engineering, Valparaiso, IN 46385",Worker found unresponsive in tank while performing repair work.
FY 2011,7/30/2011,7/27/2011,"Elliot Brothers Truck Line, Dysart, IA 52224",Truck driver was crushed when a bale of cardboard fell on him after opening the truck's cargo doors.
FY 2011,7/30/2011,7/27/2011,"Monroe Marine & Associates, LLC., Garyville, LA 70051","Worker drowned after the crane block he tried to turn flipped, causing him to be thrown in the river."
FY 2011,7/30/2011,7/27/2011,"Pilgrims Pride Corporation, Mount Pleasant, TX 75456",Employee working on a docking bay was run over by an 18-wheeler tractor trailer moving in reverse.
FY 2011,7/30/2011,7/28/2011,"American Airlines, Albuquerque, NM 87106",Worker servicing a truck conveyor was crushed under machine when it fell.
FY 2011,7/30/2011,7/28/2011,"Bowdoin Excavation LLC, Bangor, ME 04401",Worker was killed when a backhoe loader frame overturned and struck him.
FY 2011,7/30/2011,7/28/2011,"Duppong's Inc., Glen Ullin, ND 58631",Worker was crushed while working inside a baler.
FY 2011,7/30/2011,7/28/2011,"Green Global LLC, New Haven, WV 25265",Worker was killed when his powered industrial truck went over an embankment.
FY 2011,7/30/2011,7/28/2011,"Leadership Circle LLC, Montrose, CO 81402",Worker was crushed by a skid steer while working around housing basements.
FY 2011,7/30/2011,7/29/2011,"Bosselman Quick Tire Lube Repair, Gary, IN 46408",Worker crushed by vehicle while performing repair.
FY 2011,8/6/2011,6/27/2011,"Isemoto Contracting Co. Ltd. , Kailua-Kona, HI 96740",Truck driver ejected and crushed by truck that flipped over after losing control while making a turn on restricted airport roadway.
FY 2011,8/6/2011,6/28/2011,"AEE Oficina Tecnica Humacao, Nagvabo, PR 00718",Worker restoring power to a business was electrocuted while working on a public utility pole.
FY 2011,8/6/2011,7/6/2011,"Marys Tree Service & Landscaping, Lahaina, HI 96761",Tree trimmer fell nearly 50 feet when his safety belt broke while trimming coconut fronds.
FY 2011,8/6/2011,7/14/2011,"Gulfpoint Landscape Management LLP, Holmes Beach, FL 34217",Worker performing landscaping around a swimming pool drowned after falling in.
FY 2011,8/6/2011,7/18/2011,"Laxton Enterprises Inc, Wallingford, PA 19086",Worker died from head trauma after falling off a trash truck and hitting the ground.
FY 2011,8/6/2011,7/19/2011,"Alliance Contractors Inc., Algonquin, IL 60102","Employee was working outside during road construction and became ill due to the heat. Employee was taken to the hospital and was in a medically induced coma for 5 days, then died on 7/28/11."
FY 2011,8/6/2011,7/19/2011,"Complete General Contractors, Inc., Sarasota, FL 34240",Worker died after falling from a ladder while removing wood from the second floor window.
FY 2011,8/6/2011,7/22/2011,"Target Drilling Inc, Waynesburg, PA 15370",Worker died from possible electric shock.
FY 2011,8/6/2011,7/23/2011,"Imperial Lawn and Garden Care, Naples, FL 34108",Worker died when he fell 25 feet from a ladder after receiving an electric shock while cutting branches that contacted an electrical line.
FY 2011,8/6/2011,7/24/2011,"LG Hausys America, Inc., Adairsville, GA 30103",Worker replacing the seal on a piece of equipment was killed when part of the equipment struck him in the head.
FY 2011,8/6/2011,7/26/2011,"Scott Gochnauer Inc. dba Gochnauer Mechanical, Hilton Head Island, SC 29928",Worker died when he fell 11 feet through a ceiling opening while repairing an air conditioning unit.
FY 2011,8/6/2011,7/27/2011,"J & P and Sons Construction, Vidalia, GA 30474",Worker was killed after falling more than 50 feet through a roof while carrying roofing materials.
FY 2011,8/6/2011,7/27/2011,"STCT UCONN Facilities Operations, Storrs, CT 06269",Worker was found dead. Cause of death unknown.
FY 2011,8/6/2011,7/28/2011,"Dietz Vacuum Service Inc., Mount Prospect, IL 60056",Worker was killed after being caught between a rope and a five-inch rubber hose.
FY 2011,8/6/2011,7/28/2011,"Jeremiah O'Mahony Paint Company, Abington, MA 02351",Worker died after falling from a ladder while removing paint.
FY 2011,8/6/2011,7/28/2011,"Onda-Lay Pipe, Rome, PA 18837",Worker was killed after he was run over by a bulldozer at a gas well site.
FY 2011,8/6/2011,7/30/2011,"Professional Directional LTD, Conroe, TX 77303",Worker testing a battery used for power drilling tools in oil fields died after the battery exploded.
FY 2011,8/6/2011,7/30/2011,"Wilson Salt Water Disposal, Inc., Wilson, OK 73463",Worker unloading salt water was killed when nearby oil tanks exploded.
FY 2011,8/6/2011,7/31/2011,"Keystone Consolidated Industries, Inc., Peoria, IL 61641",Worker operating a powered industrial vehicle died after driving head-on into a guardrail.
FY 2011,8/6/2011,8/1/2011,"ANSCO & Associates, LLC, Laurinburg, NC 28352",Worker installing a wooden power pole was electrocuted when his truck and trailer came into contact with an energized pole.
FY 2011,8/6/2011,8/1/2011,"Five Star Masonry, Manhattan, MS 66506",Worker died after falling nearly 45 feet from a scaffold.
FY 2011,8/6/2011,8/1/2011,"G.P. Evans Contractors, LLC, Port Arthur, TX 77640",Worker died after his tractor fell down an embankment and landed on top of him.
FY 2011,8/6/2011,8/1/2011,"MSD Buncombe County, Asheville, NC 28801",Worker was struck and killed by bucket after the hydraulic lines of a backhoe failed.
FY 2011,8/6/2011,8/1/2011,"Roberts Sand Company, LLLP, Quincy, FL 32351","Worker using an excavator inside a clay pit was killed when the 25-foot wall of clay soil fell, crushing him."
FY 2011,8/6/2011,8/1/2011,"S&S Cabinets & Woodworking, Lake Crystal, MN 56055",Worker died after falling from a roof while making repairs.
FY 2011,8/6/2011,8/2/2011,"Ashton Sawing & Drilling, LLC, Richmond, TX 77407",Construction worker was killed when he was crushed between two walls.
FY 2011,8/6/2011,8/2/2011,"Estes Enterprises, Hapeville, GA 30354",Worker was crushed by a loading dock that had been taken out of service.
FY 2011,8/6/2011,8/2/2011,"Global Propane Energy LLC, Rose Hill, KS 67133",Worker died from burns after several propane tanks exploded.
FY 2011,8/6/2011,8/2/2011,"Park Construction Assoiciates, LLC, Katy, TX 77494",Worker helping to rescue a stuck cement truck was killed when the sling broke loose and hit worker in the chest.
FY 2011,8/6/2011,8/2/2011,"Robert J. Denton, Warrensburg, NY 12885",Worker was struck and killed by a tree.
FY 2011,8/6/2011,8/2/2011,"USS Cal Builders, Los Angeles, CA 90068","Worker, whose fall protection was connected to a 30-foot wall panel he was erecting, died when the panel came loose causing him to fall."
FY 2011,8/6/2011,8/3/2011,"Campbell Road Sawmill, Spencerville, IN 46788",Logging worker died when struck in the head by a falling tree branch.
FY 2011,8/6/2011,8/3/2011,"M & K Logging, Spring, TX 77373",Worker was killed when the tree he was cutting down fell on him.
FY 2011,8/6/2011,8/3/2011,"Rea Trucking, Inc., Newton, KS 67114","Worker was killed when 13 bales of hay, each weighing 1,200 pounds, fell on top of him."
FY 2011,8/6/2011,8/3/2011,"Seneca Foods, Payette, ID 83661",Worker died after he was run over by a semi-truck in the loading area.
FY 2011,8/6/2011,8/3/2011,"Sink Tower Erection Co, Inc., Lexington, NC 27295",Worker was killed after a 50-foot fall from a cellular tower.
FY 2011,8/6/2011,8/3/2011,"Zimmerman Sales and Services LLC, Goshen, IN",Worker welding inside a silo died from possible electrocution.
FY 2011,8/6/2011,8/4/2011,"Patrick Lovett Farm, Tabor City, NC 28463",Worker unclogging tobacco materials from a harvester conveyor died when his clothing was caught and he was pulled into the machine.
FY 2011,8/6/2011,8/4/2011,"Select Services LLC, Caddo Parish, LA","Worker was crushed when the truck he exited rolled backward, crushing him between it and a backhoe."
FY 2011,8/6/2011,8/5/2011,"Sai's Truck Repair Inc., Mauston, WI 53948",Worker making repairs to hoisted semi-truck was crushed when the truck fell on top of him.
FY 2011,8/13/2011,7/26/2011,"Sizemore Plumbing and Heating, LLC, Albany, GA 31701",Plumbing and heating worker was electrocuted when he touched an energized metal gas pipe while working in a crawl space.
FY 2011,8/13/2011,7/27/2011,"A-N-R Door Systems, Inc., Brunswick, GA 31520",Worker fell from an 8-foot ladder while troubleshooting a roll-up door.
FY 2011,8/13/2011,8/1/2011,"Prestonwood Christian Academy, Plano, TX 75093",Football coach collapsed and died on the practice field while working in 106-degree weather.
FY 2011,8/13/2011,8/1/2011,"Randy Davenport dba Davenport Roofing, Helena, AR 72390",Two workers were electrocuted when the aluminum ladder they were positioning against a building came in contact with an overhead powerline.
FY 2011,8/13/2011,8/2/2011,"CSM Bakery Products North America, Dallas, TX 75238",Worker unjamming part of a bakery oven was killed after he was caught between the robotic arm and the oven's conveyor belt.
FY 2011,8/13/2011,8/2/2011,"T & S Sawmill, Inc., Clarendon, AR 72029",Worker died from possible heat-related illness after working on a sawmill machine.
FY 2011,8/13/2011,8/3/2011,"Nix Contr LLC, Linden, MI 48451",Worker died after falling into a manhole.
FY 2011,8/13/2011,8/4/2011,"Clay Mohon Mowing LLC, Mortons Gap, KY 42440",Worker lost consciousness and was killed after being crushed by the tractor he was operating.
FY 2011,8/13/2011,8/4/2011,"Nielson Construction Inc, Price, UT 84501",Worker performing yard work between the road and property was struck and killed by car.
FY 2011,8/13/2011,8/5/2011,"Air Liquide, Hahnville, LA 70057","Worker attempting to remove a plug from a line at a pressure bottle died when the bottle ruptured, hitting him in the head."
FY 2011,8/13/2011,8/5/2011,"Blue Collar Construction, Pecos, TX 79972",Worker resurfacing a street was killed when crushed between a chipper spreader and dump truck.
FY 2011,8/13/2011,8/5/2011,"Dresser-Rand, Wellsville, NY 14895",Worker was crushed between a crane-held load and a fixed object.
FY 2011,8/13/2011,8/5/2011,"Eiver Vergara dba Vergara Roofing and Repair, Monroe, NC 28110",Worker died after falling nearly 30 feet from roof onto concrete driveway.
FY 2011,8/13/2011,8/5/2011,"U.S.A. Hauling & Recycling Inc., Enfield, CT 06082",Truck driver standing outside the truck trying to close its tailgate was killed when another truck backed over him.
FY 2011,8/13/2011,8/6/2011,"Kessler Construction, Munich, ND 58352",Worker nailing rafter stringers on a barn died after falling nearly 20 feet to the ground.
FY 2011,8/13/2011,8/6/2011,"Wally Park, Lester, PA 19029",Worker conducting routine maintenance on a shuttle bus was crushed when the rear of the bus collapsed.
FY 2011,8/13/2011,8/8/2011,"Crawford Construction, Van Buren, AR 72956",Worker bending down to make marks on the road was killed when a road/motor grader operator backed over him.
FY 2011,8/13/2011,8/8/2011,"Naybor's Well Services Company, High Island, TX 77623",Worker trying to detach a load from a forklift died when the load fell on top of him.
FY 2011,8/13/2011,8/8/2011,"Wave Hydro, LLC, Baldwinsville, NY 13027",Worker performing electrical maintenance fell into the water and drowned.
FY 2011,8/13/2011,8/9/2011,"BMW Motorcycles of Las Vegas, Las Vegas, NV 89113",Worker loading a motorcycle into a customer's vehicle died after falling backwards off ramp and hitting his head.
FY 2011,8/13/2011,8/9/2011,"MVT Iron Works, Guttenberg, NJ 07093",Worker standing on a ladder on the second-story walkway was killed after falling over the guardrail to the ground.
FY 2011,8/13/2011,8/9/2011,"Rod Van Erp Farm LLC, Ubly, MI 48475",Worker was crushed when a backhoe rolled over him.
FY 2011,8/13/2011,8/9/2011,"S & J Logging Inc., Chelsea, MI 48118",Worker was struck in the head and killed by falling trees while logging.
FY 2011,8/13/2011,8/9/2011,"Watervliet Public Schools, Watervliet, MI 49098",Worker stripping wood died from head injuries after falling from step.
FY 2011,8/13/2011,8/10/2011,"Extreme Fab Inc., Houston, TX 77015",Worker using hand-held tools and a drop light while inspecting a skid was electrocuted when his sweat caused the drop light to arc.
FY 2011,8/13/2011,8/10/2011,"Foreign Auto Salvage, INC, dba Walton Imports, Walton, KY 41014",Auto salvage worker was crushed when the car fell off lift.
FY 2011,8/13/2011,8/10/2011,"Ohio Gratings Texas, Houston, TX 77045",Worker stacking gratings in a warehouse died after being found unconscious.
FY 2011,8/13/2011,8/10/2011,"Sadoff & Rudoy Industries, Fond du Lac, WI 54935",Worker was killed when a clamp fell on him while performing maintenance on a shearing machine.
FY 2011,8/13/2011,8/11/2011,"Hayward Baker Inc., Aspen, CO 80020",Worker drilling geothermal holes died after becoming entangled with the rotating drill stem and auger.
FY 2011,8/13/2011,8/11/2011,"Mark Morin Logging, Tampico, IN 47220",Worker crushed while cutting down trees.
FY 2011,8/13/2011,8/12/2011,"Greenwich Terminals, Philadelphia, PA 19148","Worker was assisting a yard horse driver, hooking up to something at the pier, and was run over."
FY 2011,8/20/2011,6/13/2011,"Westside Wholesale Tire, Hamel, MN 55340",Worker was killed when he was struck by a barrel that burst while changing its nozzle.
FY 2011,8/20/2011,7/19/2011,"Graichen Sanitation, New London, WI 54961","Worker was riding on the outside of a garbage truck, emptying garbage containers, and suffered a heart attack."
FY 2011,8/20/2011,7/28/2011,"City of Asheville Fire Department, Asheville, NC 28801",Firefighter went into cardiac arrest after being overcome by smoke while attempting to extinguish a fire.
FY 2011,8/20/2011,8/3/2011,"Chrysler Group Transport, Detroit, MI 48234",Worker adding fuel to a truck died of poisoning after diesel fuel sprayed over her body.
FY 2011,8/20/2011,8/3/2011,"Natal Excavating, Inc., Mountain Lakes, NJ 07046",Worker was paying for fuel he had just pumped into his truck and was run over by the truck.
FY 2011,8/20/2011,8/5/2011,"Act Electric Inc., Youngsville, NC 27596",Worker died after falling 25 feet from a scissor lift after collision with a crane.
FY 2011,8/20/2011,8/5/2011,"Arc Industries, Inc., Columbus, OH 43230","Worker fell to the floor, striking her head."
FY 2011,8/20/2011,8/5/2011,"Central Landscape and Maintenance, Pearland, TX 77584",Worker performing landscape work collapsed and later died from hyperthermia.
FY 2011,8/20/2011,8/6/2011,"Neilson Construction Inc., Price, UT 84501",Road flagger was struck and killed by a truck that failed to stop.
FY 2011,8/20/2011,8/7/2011,"Reinhausen Manufacturing, Inc., Kissimmee, FL 34741",Worker died from burns when a transformer exploded.
FY 2011,8/20/2011,8/8/2011,"Deisel Diagnostic & Repair, West Point, GA 31833","Worker replacing brakes on an automobile carrier truck died when the jack slipped, causing the truck to fall and crush him."
FY 2011,8/20/2011,8/10/2011,"Cardone Industries Inc., Harlingen, TX 78550",Worker was sorting motor vehicle parts when he collapsed and died of a heart attack.
FY 2011,8/20/2011,8/10/2011,"Excel Energy, Granite Falls, MN 55401",Worker was killed after falling nearly 10 feet while working on a spillway clearing debris.
FY 2011,8/20/2011,8/11/2011,"Hayden Tower Company, Topeka, KS 66618",Worker dismantling a 100-foot tower died after falling 80 feet from the tower.
